Date,Seoul_General,Age_0_5,Age_5_10,Age_10_15,Age_15_20,Age_20_over,Size_0_40,Size_40_60,Size_60_85,Size_85_102,Size_102_135,Size_135_over
2012-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-14,-0.3,-0.04,-0.18,-0.31,-0.45,-0.42,-0.04,0.0,-0.32,-0.29,-0.58,-0.21
2012-05-21,-0.1,-0.13,-0.11,-0.16,-0.29,-0.12,-0.04,0.0,-0.13,-0.16,-0.01,-0.14
2012-05-28,-0.18,-0.26,-0.06,-0.15,-0.25,-0.28,-0.06,0.0,-0.15,-0.21,-0.25,-0.2
2012-06-04,-0.17,-0.58,-0.23,-0.18,-0.27,-0.24,-0.14,0.0,-0.2,-0.28,-0.31,-0.23
2012-06-11,-0.25,-0.2,-0.26,-0.21,-0.55,-0.48,0.0,0.0,-0.35,-0.36,-0.18,-0.43
2012-06-18,-0.11,-0.08,-0.12,-0.07,-0.26,-0.17,0.0,0.0,-0.14,-0.14,-0.09,-0.07
2012-06-25,-0.24,-0.14,-0.14,-0.19,-0.15,-0.26,0.0,0.0,-0.15,-0.18,-0.32,-0.29
2012-07-02,-0.09,-0.67,-0.08,-0.14,-0.32,-0.18,0.0,0.0,-0.19,-0.22,-0.15,-0.26
2012-07-09,-0.09,-0.26,-0.16,-0.15,-0.22,-0.24,-0.01,0.0,-0.17,-0.17,-0.02,-0.34
2012-07-16,-0.1,-0.13,-0.14,-0.2,-0.31,-0.32,0.0,0.0,-0.21,-0.19,-0.56,-0.33
2012-07-23,-0.08,-0.18,-0.16,-0.22,-0.14,-0.29,0.0,0.0,-0.23,-0.19,-0.19,-0.25
2012-07-30,-0.07,-0.16,-0.15,-0.18,-0.12,-0.14,0.0,0.0,-0.16,-0.15,-0.08,-0.14
2012-08-06,-0.08,-0.12,-0.25,-0.19,-0.19,-0.37,-0.13,0.0,-0.22,-0.23,-0.4,-0.38
2012-08-13,-0.18,-0.31,-0.17,-0.18,-0.16,-0.26,-0.05,0.0,-0.22,-0.19,-0.26,-0.2
2012-08-20,-0.11,-0.12,-0.22,-0.17,-0.21,-0.23,-0.09,0.0,-0.19,-0.22,-0.1,-0.24
2012-08-27,-0.14,-0.16,-0.2,-0.16,-0.15,-0.27,-0.22,0.0,-0.22,-0.2,-0.34,-0.27
2012-09-03,-0.1,-0.3,-0.09,-0.09,-0.2,-0.25,-0.07,0.0,-0.09,-0.18,-0.5,-0.19
2012-09-10,-0.09,-0.07,-0.15,-0.06,-0.11,-0.22,0.01,0.0,-0.16,-0.14,-0.13,-0.05
2012-09-17,-0.1,-0.13,-0.19,-0.13,-0.08,-0.25,0.0,0.0,-0.22,-0.16,-0.03,-0.16
2012-09-24,-0.12,-0.2,-0.1,-0.18,-0.11,-0.36,-0.54,0.0,-0.16,-0.22,-0.26,-0.23
2012-10-01,-0.07,-0.15,-0.07,-0.07,-0.1,-0.14,0.0,0.0,-0.08,-0.1,-0.12,-0.16
2012-10-08,-0.04,-0.08,-0.07,0.01,0.0,-0.15,0.05,0.0,0.02,-0.08,-0.24,-0.15
2012-10-15,-0.14,-0.06,-0.04,-0.14,-0.13,-0.12,-0.35,0.0,-0.08,-0.09,-0.19,-0.15
2012-10-22,-0.22,-0.1,-0.04,-0.18,-0.25,-0.16,0.01,0.0,-0.12,-0.12,-0.38,-0.22
